1	I unfortunately gave them the benefit of the doubt and booked with them again in September .
1	I used it few times and often they was dirty , driver was slpooy and cars are old and no comfortable.
1	I used this company as I thought it had good reviews , little did I know what I was getting into .
1	I waited 20 minutes for the tour bus outside my hostel ( the location I had indicated at time of booking ) .
1	I waited over 40 minutes on the top for the return ride , and we did not receive any information how long we should wait .
1	I wanted to book a transfer from the Airport Innsbruck to Mayrhofen for my friend and me , in case of that we both was looking in the internet for a transfer for us my friend who was in the uk told me the price to mayrhofen it was showing to him more expensive than to me at the same time we was phon.
1	I was disappointed that we did not learn all that much during the tour .
1	I was horrified at their customer service .
1	I was not offered a reschedule or even my money back .
1	I was presented with two options : 1 ) take the new fare or 2 ) cancel the booking .
1	I was really disappointed that the agency scheduled the trip without consulting the weather forecast , but above all by the fact that they left the whole group under a thunder for more than three hours .
1	I was shocked with how long it took the get there as it only took 3 hours to get home .
1	I was still confused why it was higher and a day later received another email titled URGENT asking if I was happy to accept the new amount of 113 EURO .
1	I was told I could not go back up without paying the full fare .
1	I was told the driver was not coming and we were going to have to sort it out ourselves .
1	I were among the first 50 in the queue but after waiting for 1.5 hours I still found myself lining up waiting for the mini vans .
1	I will certainly not use this company again and will certainly not be recommending them to anyone else .
1	I will most certainly be telling friends and colleagues not to use it but rather get a bit of exercise and walk up Srd .
1	i will never enter that kind of cable car again .
1	I will never use this company again .
1	I will say no more .
1	I wonder why the company didn ’ t contact me to inform me that we had to wait a bit ?
1	I wonder why the company waited nearly 1 hour to inform me , and when they did , they told me that he was 15 minutes delayed , and not half an hour ?
1	I would be extremely cautious .
1	I would certainly not recommend this company .
1	I would definitely not be using this company again and would not recommend .
1	I would have cancelled if it was not for the fact that the transfer was about 12 hours away and there was no way of organising a different one .
1	I would never again book with Select Dubrovnik as they do not have the tourists ' best interest in mind .
1	I would never use them again , I never want to feel as helpless as that day and can not trust they will stick to their word regardless of when you book or how much you pay .
1	I would not do this over that 's for sure .
1	I would not trust this company as they are very unreliable and do not take the safety of their passengers seriously .
1	I would say skip the cable cars .
1	I DO NOT RECOMMEND THESE SIRS BECAUSE THE FEELING OF BEING IMPOSTORS WE WILL NEVER FORGET .
1	If he was there , he should have contacted the hotel staff about our whereabouts .
1	If I had not have phoned , 8 people would have been left at Corfu airport .
1	If that ’ s true it is very risky to go in their cars .
1	If they owe money , admit it and will not pay , then it is theft .
1	If this is how they treat potential new customers I can not believe there is still a business to run !
1	If we were to go back we definitely wouldn ’ t bother with this again .
1	If you are really desperate to go to the top ( where there is very little to see anyway apart from a good view , an exorbitant cafe and shop , and a museum about the war ) then do it, otherwise , ughhh give it a miss.
1	If you decide to visit Montenegro , it is quite beautiful , but I would think twice before taking this tour , this guide , or Magical Tours .
1	If you do not want to get ripped-off again though you will have to stand behind other tourists cramming to get pictures next to a gigantic cross .
1	If you have an adequate fitness level you can walk up and down to avoid the cost .
1	If you have mobility issues , especially a wheelchair , do not waste your money .
1	If you only have 2-3 hours for the inner city , do not risk loosing time with the cable car .
1	If you travel in high season there might be long queues at the bottom station of the cable car .
1	If you want to spend a tenner to travel for a few minutes up to an overpriced dusty dump on a hill then this is for you .
1	If not perhaps Conecto should not accept the booking or the money .
1	IF YOU APPRECIATE YOUR PEACE , DO NOT CONTACT THEM .
1	Important , please avoid my disheartening experience and possibly others , with the company Connect to Transfer , I booked a return trip on11th Dec 2017 from Hannover Airport to Bielefeld , on the 10th December KLM cancelled my return flight , immediately I called Croatia ( Connect to Transfer ) can...
1	In 2015 drivers seem to have been replaced by non-locals who can not speak the language but more interestingly,do not know the area and routes .
1	In Kator , we were teamed up with a lousy tour guide girl who did not mention anything more than we already knew from the bus and it left us with no tie to explore the city and walking up to the chapel on the hill - the bus guide misinformed us telling us we would have enough time .
1	In other places even if there were uncontrollable " technical problems " the operator would have sent buses to take their stranded customers down the hill but this operator showed no consideration whatsoever for the people they stranded .
1	In summary , please be aware that any legitimate changes you wish to make to your journey may lead to the loss of your deposit .
1	In the end I had to call a different company to rush us to the airport and pay again even though I had paid a deposit to Connecto .
1	in the end we decided to wait in a bar and we didn ’ t even see the waterfalls
1	In the winter departure time is not 16 : 00 PM , it is 15 : 30 !
1	In addition , I lost my passport in the post office in Mostar , what they did is to leave me in an unknown small town and ask you to do everything by yourself .
1	In addition she never bothered to let anyone know where restrooms were , or places for drinks / snacks / atm ’ s at rest stops .
1	In case you decide to ever go and try the Dubrovnik Cable Car be sure to check and over check the latest timetable so you do not end up like us walking for 1 hour in complete darkness on a small road full of stones and gravel .
1	In order to avoid booking those big coach tour which usually takes 2-3 hrs at Montenegro border control , I even sent a message to SelectDubrovnik to double confirm that I am booking the correct tour - the 18persons minibus tour .
1	Inside , it is dark due to heavy tinted windows and can be claustrophobic as the vehicle is filled to capacity .
1	Instead of aplogising , the compnay tried to use our card again .
1	It ’ s a mid evil city with a wall on the coast .
1	It did not look like he was trying to pass a car as we did not accelerate and we nearly went head on into an oncoming car .
1	It has been 30 working days since the incident and despite continuous e-mails , I have still not received the money and now they are not responding to my e-mails .
1	It is a danger break so that we could not use the buggy furthermore .
1	It is a row of four seats cramped next to each other , where only two seats are free for my friend and I. 
1	It is a tool simply to fleece the cruise ship passengers who spend a few hours in the city .
1	It is bad for Croatia to treat visitors like this .
1	It is badly run and expensive for what it is .
1	It is even inhumane , if it was happening in my city I would definitely find / direct an alternative , and pay the excess amount , and never let my customers down early morning , before dawn .
1	It is less than 3 minute ride and it is the most expensive cable car I have ever used
1	It is neither ethical nor responsible .
1	it is not my problem , find the path yourself , he is in charge of the cable car .
1	It is not a good ride as it is very short .
1	It is quite unprofessional and very bed experience .
1	It is the second time that this company leaves us stranded without our contracted service .
1	It lasted a few minutes and when it was over I wish I had not walked all the way up to the cable cars ( it 's quite a long walk ) .
1	It looked so different and I was expecting the cable car to take us all around the city however it really was a disappointment .
1	It looks like you can walk down a few hundred stairs and be back in Old Town , but that 's not the case .
1	It opens at 9 am , we got there 8.50 and there was already a long queue standing in the already baking sun .
